capacity,joint,disjoint,disjoint_std,gap
1,93.75,77.08333333333334,16.535945694153693,16.666666666666657
2,93.75,77.08333333333334,16.535945694153693,16.666666666666657
3,93.75,77.08333333333334,16.535945694153693,16.666666666666657
5,93.75,77.08333333333334,16.535945694153693,16.666666666666657
10,93.75,77.08333333333334,16.535945694153693,16.666666666666657
20,93.75,77.08333333333334,16.535945694153693,16.666666666666657
100,93.75,77.08333333333334,16.535945694153693,16.666666666666657
