run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,45100,5200,90,130,oabu,11270.848830461502
1,45100,5200,90,130,oabu,11275.631928443909
2,45100,5200,90,130,oabu,11261.680983543396
3,45100,5200,90,130,oabu,11282.410964488983
4,45100,5200,90,130,oabu,11287.131489038467
5,45100,5200,90,130,oabu,11277.060716867447
6,45100,5200,90,130,oabu,11274.468629360199
7,45100,5200,90,130,oabu,11306.70839381218
8,45100,5200,90,130,oabu,10668.66548204422
9,45100,5200,90,130,oabu,10666.414157390594
