run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,84400,7600,171,200,rari,5619.132529020309
1,84400,7600,171,200,rari,5524.191219568253
2,84400,7600,171,200,rari,5709.501960277557
3,84400,7400,171,200,rari,5405.499228477478
4,84300,7500,171,200,rari,5806.02224111557
5,84300,7500,171,200,rari,5802.063596725464
6,84400,7500,171,200,rari,5494.922240972519
7,84400,7500,171,200,rari,5415.890035152435
8,83900,7400,170,200,rari,5407.573751449585
9,84900,7600,172,200,rari,5606.0156853199005
