run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,30200,3500,62,90,oabu,8484.447593450546
1,30200,3500,62,90,oabu,8473.55950307846
2,30200,3500,62,90,oabu,8472.368600606918
3,30200,3500,62,90,oabu,8479.9608066082
4,30200,3500,62,90,oabu,8472.690125703812
5,30200,3500,62,90,oabu,8475.535761117935
6,30200,3500,62,90,oabu,8483.400116682053
7,30200,3500,62,90,oabu,8471.677084445953
8,30200,3500,62,90,oabu,8051.150516271591
9,30200,3500,62,90,oabu,8051.680109977722
