run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,38000,4000,77,110,oabu,9866.033089637756
1,38000,4000,77,110,oabu,9863.3930747509
2,38000,4000,77,110,oabu,9864.702731370926
3,38000,4000,77,110,oabu,9866.911835193634
4,38000,4000,77,110,oabu,9858.91641330719
5,38000,4000,77,110,oabu,9861.429363489151
6,38000,4000,77,110,oabu,9858.847034931183
7,38000,4000,77,110,oabu,9873.441171646118
8,38000,4000,77,110,oabu,9425.479406356812
9,38000,4000,77,110,oabu,9425.736913442612
