run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,600,100,1,100,bari,344.25292468070984
1,600,100,1,100,bari,344.2849245071411
2,600,100,1,100,bari,343.02690172195435
3,600,100,1,100,bari,342.44113302230835
4,600,100,1,100,bari,344.0968577861786
