run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,42200,4700,85,120,oabu,10531.47812461853
1,42200,4700,85,120,oabu,10511.845849990845
2,42200,4700,85,120,oabu,10505.781723976135
3,42200,4700,85,120,oabu,10521.495156049728
4,42200,4700,85,120,oabu,10520.18744134903
5,42200,4700,85,120,oabu,10530.731132984161
6,42200,4700,85,120,oabu,10504.381846427917
7,42200,4700,85,120,oabu,10514.431148290634
8,42200,4700,85,120,oabu,9962.122819662094
9,42200,4700,85,120,oabu,9958.76685833931
