run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,26000,2200,52,100,bari,125.59297227859497
1,26000,2200,52,100,bari,125.78806781768799
2,26000,2200,52,100,bari,125.8592689037323
3,26000,2200,52,100,bari,124.92272329330444
4,26000,2200,52,100,bari,125.72405862808228
